연번,구인_신청일자,모집_기간,기업명,모집_직종,고용_형태,임금_형태,임금,입사_형태,요구_경력,요구_학력,전공_계열,요구_자격증,사업장_주소,기업_형태,담당_기관,등록일,연락처
1,2024-12-31,2024-12-31~2025-01-15,제주탐나씨푸드영어조합법인,식품 포장원,상용직,월급,1714000.0,무관,무관,무관,,    ,제주특별자치도 제주시 명림로 258 (봉개동),중소,제주지사,2024-12-31,1588-1519
2,2024-12-31,2024-12-31~2025-01-31,여수전남병원,병원 안내원 및 병원고객 도우미,상용직,시급,10030.0,무관,무관,무관,,    ,전라남도 여수시 좌수영로 49 (광무동),중소,전남지사,2024-12-31,1588-1519
3,2024-12-31,2024-12-31~2025-01-19,나라개발시스템주식회사,환경 미화원,계약직,월급,1480000.0,무관,무관,무관,,    ,서울특별시 강남구 논현로30길 36-4 4층 (도곡동),중소,경기서부지사,2024-12-31,1588-1519
4,2024-12-31,2024-12-31~2025-01-17,(주)삼원가든 투뿔등심 논현본점,일반 음식점 접객서빙원,상용직,월급,2430000.0,무관,0년개월,무관,,    ,서울특별시 강남구 언주로148길 19 1층 102호(논현동),중소,서울동부지사,2024-12-31,1588-1519
5,2024-12-31,2024-12-31~2025-01-15,울산광역시북구시설관리공단,주차 관리·안내원,계약직,시급,10030.0,무관,0년개월,무관,,    ,울산광역시 북구 산업로 1020 (연암동) 울산광역시북구시설관리공단,"공사,공공",울산지사,2024-12-31,1588-1519
6,2024-12-31,2024-12-31~2024-12-31,국가대표안마원(남동구),안마사,상용직,월급,2500000.0,무관,0년개월,무관,,    ,인천광역시 남동구 논고개로123번길 35 (논현동),개인,인천지사,2024-12-31,1588-1519
7,2024-12-31,2024-12-31~2025-01-30,하늘종합관리(주),아파트·빌라 경비원,계약직,시급,10030.0,무관,무관,무관,,    ,"인천광역시 남동구 백범로 67 423-3 (만수동, 장수상가)",중소,인천지사,2024-12-31,1588-1519
8,2024-12-31,2024-12-31~2024-12-31,의료법인 나사렛의료재단 나사렛국제병원,사무 보조원(일반사업체),상용직,월급,2096270.0,무관,무관,무관,,    ,인천광역시 연수구 먼우금로 98 (동춘동),중소,인천지사,2024-12-31,1588-1519
9,2024-12-31,2024-12-31~2025-01-31,광주광역시 동구청,사무 보조원(공공기관),계약직,시급,10030.0,무관,0년개월,무관,,    ,광주광역시 동구 서남로 1 (서석동),"공사,공공",광주지역본부,2024-12-31,1588-1519
10,2024-12-31,2024-12-31~2025-02-28,씨제이제일제당(주) 영등포공장,바리스타,계약직,시급,10030.0,무관,0년개월,무관,,    ,서울특별시 구로구 경인로 518 (구로동) CJ제일제당 영등포공장,대기업,서울지역본부,2024-12-31,1588-1519
11,2024-12-31,2024-12-31~2024-12-31,경상북도교육청구미도서관 ,도서정리원,계약직,시급,9860.0,무관,무관,무관,,    ,경상북도 구미시 원평2동 964-616번지,"공사,공공",경북지사,2024-12-31,1588-1519
12,2024-12-31,2024-12-31~2025-01-31,광주광역시 동구장애인복지관,사무 보조원(공공기관),계약직,시급,10030.0,무관,무관,무관,전기공학,    ,광주광역시 동구 백서로198번길 7 광주광역시동구장애인복지관 (서석동),중소,광주지역본부,2024-12-31,1588-1519
13,2024-12-31,2024-12-31~2025-02-28,케이원보안시스템,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",상용직,시급,10030.0,무관,0년개월,무관,,    ,충청남도 천안시 동남구 쌍용대로 46 (쌍용동) 가람빌딩 2층,중소,충남지사,2024-12-31,1588-1519
14,2024-12-31,2024-12-31~2025-02-28,주식회사 터틀즈,"제품 단순검사원(섬유, 전기전자, 식품 제외)",계약직,시급,10030.0,무관,무관,무관,,    ,"부산광역시 사상구 사상로 208-1 402호 (괘법동, 사상티오피)",중소,부산지역본부,2024-12-31,1588-1519
15,2024-12-31,2024-12-31~2025-01-05,범물중학교,환경 미화원,계약직,월급,1143000.0,무관,0년개월,무관,,    ,대구광역시 수성구 범안로4길 46 (범물동),"공사,공공",대구지역본부,2024-12-31,1588-1519
16,2024-12-31,2024-12-31~2025-01-03,한국한의약진흥원,사무 보조원(공공기관),계약직,월급,1050000.0,신입,무관,무관,,    ,경상북도 경산시 화랑로 94 (갑제동),"공사,공공",대구지역본부,2024-12-31,1588-1519
17,2024-12-31,2024-12-31~2024-12-31,（주）상일종합관리,아파트·빌라 경비원,계약직,월급,2972900.0,무관,무관,무관,,    ,대구광역시 남구 용두방천2길 34 상일빌딩 (이천동),중소,대구지역본부,2024-12-31,1588-1519
18,2024-12-31,2024-12-31~2025-01-31,(주)에스피씨지에프에스,환경 미화원,상용직,시급,10215.0,무관,무관,무관,,    ,경기도 성남시 중원구 둔촌대로457번길 13 (상대원동),대기업,경기서부지사,2024-12-31,1588-1519
19,2024-12-31,2024-12-31~2025-01-03,의료법인대아의료재단,단체 급식 보조원,상용직,월급,2500000.0,무관,무관,무관,,    ,경기도 안산시 단원구 선부광장로 103 (선부동),중소,경기서부지사,2024-12-31,1588-1519
20,2024-12-31,2024-12-31~2025-03-30,동아대학교의료원,기타 보건·의료 서비스 종사원,시간제,시급,10030.0,무관,무관,무관,,    ,부산광역시 서구 대신공원로 26 (동대신동3가),중소,부산지역본부,2024-12-31,1588-1519
21,2024-12-31,2024-12-31~2025-01-19,(주)이랜드 이츠 애슐리퀸즈 AK 광명점,주방정리원,시간제,시급,10030.0,무관,0년개월,무관,,    ,경기도 광명시 양지로 17 (일직동),대기업,경기서부지사,2024-12-31,1588-1519
